Instrument,ISIN,Mnemonic
LARAMIDE RESOURCES LTD,CA51669T1012,L4R
LARGO RES LTD,CA5171034047,LR81
LATIN AMERICAN MINERALS,CA51827X2005,LACA
LATTICE BIOLOGICS LTD.,CA5184101056,B5G2
LAURENTIAN BK OF CDA,CA51925D1069,LT7
LEADING BRANDS,CA52170U2074,L7BA
LEADFX INC.,CA52170Y1007,IWEL
LEADING EDGE MATLS,CA52171T1003,7FL
LEENLIFE PHARMA INT. INC.,CA5242751041,LL1
LEGEND GOLD CORP. NEW,CA52471L2030,NA8N
LEGEND POWER SYS INC.,CA5249372080,XLE1
LEUCROTTA EXPLOR.,CA52728X2086,1L4
LEVON RES LTD,CA52749A1049,26V
LEXAGENE HLDGS,CA52886L1031,5XS2
LEXAM VG GOLD,CA52886U1030,VN3A
LIBERTY LEAF HLDGS,CA53069P1018,HN3P
LICO ENERGY METALS,CA5316961021,43W1
LIGHTNING VENTURES INC.,CA5322481014,1HM
LIFESTYLE DELIVERY SYS,CA53224Y1043,LD6
LINAMAR CORP.,CA53278L1076,LNR
LINCOLN MINING,CA5340182057,ZMG1
LINGO MEDIA CORP.,CA5357441065,LIMA
LION ONE METALS LTD,CA5362161047,LY1
LIONS GATE METALS INC.,CA53626Q3035,A1DB
LITE ACCESS TECHNOLOGIES,CA5367361014,LA7
LITHIUM AMERICAS CORP.,CA53680Q1081,WUC
LITHIUM ENERGY PRODS,CA53680R1064,N8I
LITHIUM X ENERGY CORP.,CA5368161017,RUT
LOBLAW COS LTD,CA5394811015,L8G
LOMIKO METALS INC.,CA54163Q4097,DH8C
LOON CORP.,CA5435122067,L48N
NORSEMONT CAPITAL INC.NEW,CA5441792036,LXZ1
LUCARA DIAMOND CORP.,CA54928Q1081,LKT
LUCKY MINERALS,CA5495461090,8LM
LUMENPULSE INC.,CA55024T1021,0L6
LUNA GOLD CORP.,CA5503446000,L4G2
LUNDIN GOLD INC.,CA5503711080,F1YN
LUNDIN MINING CORP.,CA5503721063,GXD
LUPAKA GOLD CORP.,CA5504351019,LQP
MDC PARTNERSC. A SV,CA5526971042,MD7A
MEG ENERGY CORP.,CA5527041084,ME7
MFC BANCORP LTD.,CA55278T1057,MFC1
MCW ENERGY GROUP LTD,CA55279D1096,MW4A
MGX MINERALS INC.,CA55303L1013,1MG
M PHARMACEUTICAL,CA55346E2050,T3F2
MTY FOOD GROUP INC.,CA55378N1078,9MF
MYM NUTRACEUTICALS INC.,CA55406A1012,0MY
"MACDONALD, DETTWILER",CA5542821031,MQ3
MACDONALD MNS EXPL. A,CA5543244001,3M72
MAD CATZ,CA5561621056,NF9
MADALENA ENERGY INC.,CA5562311087,72M
MAGELLAN AEROSPACE CORP.,CA5589122004,4M7A
MAG ONE PRODUCTS,CA55903J1003,304
MAG SILVER CORP.,CA55903Q1046,MQ8
MAGNA INTL INC.,CA5592224011,MGA
MAKENA RESOURCES INC.,CA56087W1077,45CM
MUKUBA RES LTD,CA5608855014,MUU2
MAJOR DRILLING GRP INTL,CA5609091031,3MJ
MAJESTIC GOLD CORP.,CA5609121077,MJT
MALBEX RESOURCES INC.,CA56108E4094,76MA
MAMMOTH RES CORP.,CA5616071026,M0R
MANDALAY RES CORP. NEW,CA5625682045,R7X1
MANGANESE X ENERGY,CA5626781028,9SC2
MANITOBA TELECOM SVCS,CA5634861093,MB9
MANITOK ENERGY INC.,CA5634991023,9MA
MANSON CREEK RES LTD,CA5644493044,BG6A
MAPLE LEAF FOODS,CA5649051078,M1L
MANULIFE FINANCIAL CORP.,CA56501R1064,MLU
MAPLE LEAF GREEN WORLD,CA5652971089,4HV
MARAPHARM VENTURES INC.,CA56575M1086,2M0
MARATHON GOLD CORP.,CA56580Q1028,MC8
MARGARET LAKE DIAMONDS,CA56658A1049,M85
MARIFIL MINES LTD,CA56781Y1025,MMR
MARLIN GOLD MNG,CA5711752074,OGA1
MARQUEE ENERGY LTD,CA57143F1045,31A
MARTINREA INTL INC.,CA5734591046,03M
MASON GRAPHITE INC.,CA57520W1005,M01
MASONITE INTL CORP.,CA5753851099,MII
MATAMEC EXPLORATIONS INC.,CA5765411064,NHF
MATICA ENTERPRISES INC.,CA5768081096,39N
MAXTECH VENTURES,CA5777282073,M1NA
MAX RESOURCE CORP.,CA57772U2083,M1D1
MAXIM RESOURCES INC.,CA5777572069,M5HA
MAWSON RES (NEW),CA57776G1063,MXR
MAYA GOLD + SILVER INC.,CA5778381056,0HE
MCLAREN RESOURCES INC.,CA5817631099,3ML
MEADOW BAY GOLD CORP.,CA5830811041,20M
MEDALLION RES LTD,CA5839351015,MRD
MEDICURE INC.,CA58469E4085,NGQ1
MEDIFOCUS INC.,CA58470Q1019,1ME
MEDMIRA INC.,CA58501R1029,47M
MEDX HEALTH CORP.,CA5850901037,9MH
MEGA URANIUM LTD.,CA58516W1041,M6J
MEMEX INC.,CA58600T1084,1M6
MERREX GOLD INC.,CA59012H1047,DBE
MERUS LABS INTL NEW,CA59047R1010,9ML
MESA EXPLORATION CORP.,CA59064J1075,IIR1
METALEX VENTURES LTD,CA5909152038,KWY1
METALCORP LTD,CA5911451071,OWC
METALLA ROYAL.STREAM.  ON,CA59124U1003,X9CP
MATALLUM RESOURCES INC.,CA5912581082,0ML
METALLIC MINERALS CORP.,CA59126M1068,9MM1
METALS CREEK RES,CA59131Q2099,M1C1
METANOR RESOURCES INC.,CA59138Q1037,M3R
METHANEX CORP.,CA59151K1084,MX5
METRO INC.,CA59162N1096,62M
METTRUM HEALTH CORP.,CA5926891030,7MH
MEZZI HOLDINGS INC.,CA59318L1067,0MZ
MICROBIX BIOSYSTEMS,CA59501P1045,2M4
MICROMEM TECHNOLOGIES INC,CA59509P1062,NKD
MIDAS GOLD CORP.,CA59562B1013,9MI
MIDPOINT HOLDINGS LTD,CA5980291069,8MH
MILLENN.LITHIUM CORP.,CA60040W1059,A3N2
MILLSTREAM MINES,CA6009002032,NJD1
MILLROCK RES INC. NEW,CA6011322022,6LMN
MINAEAN SP CONSTRUCTION,CA60250V1022,NJAN
MINCO SILVER CORP.,CA60254C1005,XYD
MINCO GOLD CORP.,CA60254D1087,MI5
MINECORP ENERGY LTD.,CA6027292045,B1H2
MINERA ALAMOS,CA60283L1058,PYCP
MINERAL HILL INDUSTR.NEW,CA60283T2074,N8Z1
MINDORO RES LTD,CA6029131050,OLM
MINNOVA CORP.,CA6042501008,2J1A
MIRANDA GOLD,CA6046731031,MRG
MIRASOL RESOURCES LTD,CA6046801081,M8R
MITEL NETWORKS CORP.,CA60671Q1046,M08
ML GOLD CORP.,CA60689H1047,X0VN
MOBI724 GLOBAL SOL.,CA60705U1057,F4C
MOBIO TECHS INC.,CA60743K3091,MV8P
MOGO FIN.TECHNO.INC.,CA6080081087,MO0
MOLORI ENERGY INC.,CA60870N1006,2TP1
MONARCA MINLS,CA60916Q2080,OSI1
MONARQUES GOLD,CA60918T1012,MR7
MONETA PORCUPINE MNS,CA6092861096,MOP
MONSTER URANIUM,CA61174P3043,4OH2
MONTAN MINING CORP.,CA61186P1027,S5GM
MONTANA EXPLORATION CORP.,CA6120422002,CDKN
MONTEGO RESOURCES INC.,CA61238K1012,4MO
MONUMENT MINING LTD,CA61531Y1051,D7Q1
MOOD MEDIA CORP.,CA61534J1057,FM8
MOONCOR OIL + GAS CORP.,CA6155671044,3UM
MOOVLY MEDIA INC.,CA61634Q1081,0PV2
MORIEN RES CORP.,CA61763R2081,35BN
MORNEAU SHEPELL,CA61767W1041,6M8
MOUNTAIN BOY MINERALS,CA6238581079,M9U
MOUNTAIN CHINA RES.(HLDG),CA6238912076,SZ4A
MOUNT.PROV.D.,CA62426E4022,MPG
MULLEN GROUP LTD,CA6252841045,9MU
MUNDORO CAPITAL INC.,CA6261351077,NGU
MURCHISON MINERALS,CA6264262099,3TFQ
MUSTANG MINLS CORP.,CA6281981036,NJF
MX GOLD CORP.,CA62848A1030,0DV
NSGOLD CORP.,CA62942A2074,0NS1
NRG METALS INC.,CA62945U1012,OGPN
NWT URANIUM CORP.,CA62948B1004,NMV
NAIKUN WIND ENERGY GROUP,CA6298151011,NW9
NAMIBIA RARE EARTHS INC.,CA62986A1057,7NR
NAMASTE TECHN.INC.,CA62987D1087,M5BQ
NANOTECH SECURITY CORP.,CA63009M1005,9NS
NANO ONE MATERIALS,CA63010A1030,LBMB
NAPEC INC.,CA6304051080,4QL
NASS VALLEY GATEWAY NEW,CA6315202029,3NVN
NATAN RESOURCES LTD,CA6317592062,N071
NATCORE TECHNOLOGY,CA63228P1080,8NT
NATL BK OF CDA,CA6330671034,NBC
NATURALLY SPLEND.ENTERPR.,CA63902L1004,50N
NATUREBANK ASSET MANAGEM.,CA63903K1012,9EA
NAUTILUS MINERALS INC.,CA6390971043,N9M
NAVIS RESOURCES CORP.,CA63940B1067,L3O1
NEBU RES INC.,CA63970T3082,4NB1
NEMASKA LITHIUM INC.,CA64045C1068,N0T
NEO LITHIUM CORP,CA64047A1084,NE2
NEOVASC INC.,CA64065J1066,G5Z1
NEPTUNE TECH+BIORESSOURC.,CA64077P1080,NTU
NETCENTS TECHNOLOGY INC.,CA64112G1054,26N
NEVADA CLEAN MAGNESIUM,CA6412731078,M1V
NEVADA EXPLORATION INC.,CA64128D2032,28N
NEVADA COPPER CORP.,CA64128F1099,ZYT
NEUTRISCI INTL,CA64129Y1079,1N9
NEVADA ENERGY METALS INC.,CA64130N1087,NMK
NEVADA SUNRISE GOLD,CA64149P3007,NV81
NEVADO RESOURCES CORP.A,CA64151V1040,NSV
NEVADA ZINC CORP.,CA64151W1023,6GX
NEVSUN RES LTD,CA64156L1013,NR4
NEW AGE FARM INC.,CA64157D1087,0NF
NEW CAROLIN GOLD CORP.,CA6432531078,29N
NEW DESTINY MINING CORP.,CA64374A2002,6ND1
NEW DIMENSION RES,CA6437632046,N7D1
NEW FLYER INDS,CA64438T4019,9NF
NEW GOLD INC.,CA6445351068,32N
NEW MILLENNIUM IRON CORP.,CA64753V1067,36N
NEW OROPERU,CA6478071062,OE6
NEW PACIFIC HLDGS CORP.,CA64783E1088,3N7
NEW WORLD RESOURCE CORP.,CA6492972071,NWU1
NEW ZEALAND ENERGY CORP.,CA6501581087,0ZE
NEWALTA CORP.,CA65020P1036,30W
NEWCASTLE GOLD,CA65106Q1081,7C9
NEWLOX GOLD VENTURES,CA65151R1001,NGO
NEWMAC RESOURCES INC.,CA6515223023,N3MN
NEWRANGE GOLD CORP.,CA65250B1058,X6C
NGEX RESOURCES INC.,CA65339B1004,6CG
NEXGEN ENERGY LTD,CA65340P1062,6NE
NEXUS GOLD CORP.   O.N.,CA65341L1040,N6E
NEXOPTIC TECHNOLOGY CORP.,CA65341P1053,E3O1
NICKEL ONE RESOURCES INC.,CA6538971087,7N1
NIKO RESOURCES LTD.,CA6539051095,NRY
NICOLA MINING,CA65405R1047,HLI
NIGHTHAWK GOLD CORP.,CA65412D3040,M2M1
92 RES CORP.,CA6544061071,R9G2
NIOCORP DEVELOPMENTS,CA6544841043,BR3
NIPPON DRAGON RES,CA6545561095,
NITINAT MINERALS CORP.,CA65477B4091,04U1
NOBLE MINERAL EXPLORATION,CA65505T1093,NB7
NOKA RES INC. NEW,CA65528A2020,2NKN
NORAM VENTURES INC.,CA65542J1066,N7R
NORBORD INC.,CA65548P4033,QXP1
NORONT RESOURCES INC.,CA65626P1018,NQ1
NORTEC MINERALS CORP.,CA65655Q2027,WMQ1
NRTH AMER.ENERGY PAR.INC.,CA6568441076,N5Z
NORTH AMERICAN NICKEL,CA65704T1084,N84
NORTH AMER. PALL.,CA65704X1096,NAPN
NORTH AMER.POTASH DEVEL.,CA65705T2065,3OZ1
NORTH ARROW MINERALS,CA6572802024,VTJ1
NORTH SEA EN.,CA6623001022,NS5
NORTHCLIFF RESOURCES LTD,CA66401Q1081,8NC
NORTHERN ABITIBI MNG,CA6647241018,NJM
NORTHERN BLIZZARD RESOUR.,CA6647841056,2NB
NORTHERN DYNASTY MINLS,CA66510M2040,ND3
NORTHERN FREEGOLD RES,CA6651672017,8N61
NORTHERN GRAPHITE CORP.,CA66516A1057,0NG
NORTHERN LION GOLD,CA6653783036,N3EN
NORTHERN SHIELD RES INC.,CA6657201084,N9S
NORTHERN SUPERIOR RES,CA6658041000,D9M
NORTHERN URANIUM CORP.,CA6658701017,1NU
NORTHISLE COPPER+GOLD INC,CA66644R1038,0N4
NORTHLAND POWER INC.,CA6665111002,1NR
NORVISTA CAPITAL CORP.,CA6688131086,DFUA
NOUVEAU MONDE MNG ENT.,CA66979M1095,NM9
NOVAGOLD RES,CA66987E2069,NGR
NOVADAQ TECHNOLOGIES INC.,CA66987G1028,NQT
NOVANTA INC.,CA67000B1040,1GSN
NOVELION THERAPEUTICS,CA67001K2020,QLTA
NOVO RESOURCES CORP.,CA67010B1022,1NO
NULEGACY GOLD CORP.,CA67053L1085,7NU
NUTRITIONAL HIGH INTL INC,CA6706841096,2NU
NUVISTA ENERGY LTD.,CA67072Q1046,NVG
COMMUNIQUE LAB INC.,CA67088Q1063,DFK
OK2 MINERALS LIMITED,CA6708961090,1KO
NUVO PHARMACEUTICALS INC.,CA67092F1045,23N
OCEANAGOLD CORP.,CA6752221037,RQQ
OCEANIC IRON ORE CORP.,CA67524Q1321,5OIN
ONCOLYTICS BIOTECH,CA6823101077,ONY
ONEX CORP. (SUB. VTG),CA68272K1030,ONE
ONESOFT SOLUTIONS,CA68276J1021,5S5
OPAWICA EXPLOR.INC.NEW,CA6834764020,OE5C
OPEN TEXT CORP.,CA6837151068,OTX
OPEN SOURCE HEALTH INC.,CA68373F1027,0OS
ORACLE ENERGY,CA68400T2083,O2EN
ORCA GOLD INC.,CA68558N1024,HJ6A
ORCA TOUCHSCREEN TECHNOL.,CA68558T1093,6OT
ORBITE TECHS INC.,CA68558W1023,3XO
ORESTONE MINING CORP.,CA6861542042,O2R1
OREZONE GOLD CORP.,CA68616T1093,OEX
OREX MINERALS (NEW),CA68616X1006,ORS
ORGANIGRAM HLDGS INC.,CA68620P1018,0OG
ORGANIC GARAGE LTD,CA68621R1064,9CW1
ORLA MINING (NEW),CA68634K1066,O8M
OROCO RESOURCE CORP.,CA6870331007,OR6
OROFINO MINERALS,CA68706P2070,9OM
OROSUR MINING INC.,CA6871961059,UR2
ORVANA MINLS CORP.,CA68759M1014,O6M
ORYX PETROLEUM CORP.LTD,CA68764K1084,OYX
OSISKO GOLD ROYALT.,CA68827L1013,OM4
OSISKO MINING INC.,CA6882811046,1B7N
OTIS GOLD CORP.,CA6890071021,4OG
PPX MINING CORP.,CA69354U1003,39S
PMI RES LTD,CA69361G1028,56PP
PACIFIC BAY MINERALS LTD,CA69403X2041,OUBN
PACIFIC PARADYM ENERGY,CA6947402005,PAP1
PACIFIC POTASH CORP. NEW,CA6947812047,P9PN
PACIFIC THERAPEUTICS NEW,CA6950002080,1P3N
PAINTED PONY PETR. REG.SH,CA6957811046,PPE
PAN AMER. SILVER CORP.,CA6979001089,PA2
PAN ORIENT ENERGY CORP.,CA69806Y1060,PNO
PANGOLIN DIAMONDS,CA69841K1030,PM3
PANORAMA PETROLEUM,CA69862U1057,TMP1
PANORO MINERALS LTD.,CA69863Q1037,PZM
PARA RESOURCES LTD,CA69889L1040,8PR
PARAMOUNT RES LTD CLASS A,CA6993202069,PQ51
PARCELPAL TECHN.INC. O.N.,CA69938L1058,PT0
PAREX RESOURCES INC.,CA69946Q1046,QPX
PARK LAWN CORP.,CA7005632087,PL2
PARKLAND FUEL CORP.,CA70137T1057,PF6
PARLANE RESOURCE CORP.,CA70162N2059,P1A
PASINEX RESOURCES LTD.,CA70260R1082,PNX
PASON SYSTEMS INC,CA7029251088,3PS
PATIENT HOME MONITORING,CA70324G1063,1P4
PATRIOT ONE TECHN,CA70339L1085,0PL
PEAK POSIT.TECHN.INC.O.N.,CA70469M1086,P0T
PELANGIO EXPLORAT.INC.,CA7056461071,67P
PELE MOUNTAIN RESOURCES,CA7059071034,P5Z
PEMBINA PIPELINE CORP.,CA7063271034,P5P
PENGROWTH ENERGY,CA70706P1045,P8K
PENN WEST PETROLEUM,CA7078871059,P13
PERFORMANCE SPORTS GRP,CA71377G1000,8BS
PEREGRINE DIAMONDS LTD,CA7139161045,PD4
PERPETUAL ENERGY INC.NEW,CA7142701217,AGGN
PETRO VISTA EN.,CA71646R2000,62P1
PETRODORADO ENERGY CL.B,CA71646V4091,8P2N
PETROFRONTIER CORP.,CA71648X1069,5PF
PETROLIA INC.,CA7166851021,4P3
PETROLYMPIC LTD.,CA7167251064,PT3
PETROWEST CORP.,CA71676C2067,30P
PETRUS RES LTD,CA71678F1080,6P4
PEYTO EXPL.+DEVEL.CORP.,CA7170461064,PXK
PHILIPPINE METALS,CA7182572072,PM7A
PHOTON CONTROL,CA7193601092,0E5
PILOT GOLD INC.,CA72154R1038,PGW
PINE CLIFF ENERGY,CA7225241057,IPC
PINETREE CAPITAL LTD,CA7233308666,PI1A
PISTOL BAY MNG,CA72433U2083,0QS2
PIVOT TECHNOLOG.SOLUT.NEW,CA72582B2093,PV9N
PIVOTAL THERAPEUTICS INC,CA72582E1043,PV2
PLATEAU URANIUM,CA7276381083,QG1A
PLATINEX INC.,CA72765P1080,9PX
PLATINUM GROUP METALS LTD,CA72765Q6013,P6MA
PLAYFAIR MNG,CA72811X2041,P1J1
POET TECHS INC.,CA73044W1041,RI4
POINTS INTL,CA7308432086,4QQN
POLARIS INFRASTRUCT.,CA73106R1001,G8O2
POLARIS MATERIALS CORP.,CA7310741003,4PM
POLYMET MINING CORP.,CA7319161021,PB3
POTASH RIDGE CORP.,CA73754X1024,0P2
POTASH CORP. SAS. INC.,CA73755L1076,POC
POWER CORPORATION OF CDA,CA7392391016,PCR
POWER FINL CORP.,CA73927C1005,PWF
POWER METALS CORP.,CA73929Q1072,OAA1
POYDRAS GAMING FINANCE,CA73938Y2087,2PY1
PRAIRIE PROVIDENT RES.INC,CA73965Q1028,09N
PRAIRIESKY ROYALTY LTD,CA7397211086,7PS
PRECIPITATE GOLD CORP.,CA74019D1050,1P7
PRECISION DRILLING CORP.,CA74022D3085,PRE
PREMIER GOLD MINES LTD,CA74051D1042,P2O
PREMIER DIVERS. HLDGS,CA74051Q1054,7P1
PREMIUM BRANDS HLDGS(NEW),CA74061A1084,5P7
PRETIUM RESOURCES INC.,CA74139C1023,6P7
PRIME MERIDIAN RES,CA74162C2013,DYD1
PRIMERO MINING CORP.,CA74164W1068,9PM
PRIZE MINING CORP.,CA74270U3091,MQSP
PROBE METALS,CA74273V1067,3PB
PROMETIC LIFE SCIENCES,CA74342Q1046,PJ2
PROPHECY DEV.CORP.NEW,CA74347D2077,1P2N
PROSPERO SILVER CORP.,CA7436242076,POUN
PUF VENTURES INC.,CA74530Q2053,PU31
PULSE SEISMIC INC.,CA74586Q1090,PUD
PUMA EXPLORATION INC.,CA74588S1039,4P8
PURE TECHNOLOGIES LTD.,CA7459151089,P42
PUREPOINT URANIUM GRP,CA7462341032,P5X
PURE NICKEL INC.,CA74623Q1046,3H9
PURE ENERGY MINLS,CA74624B2057,AHG1
PURE GOLD MINING,CA74624E1007,L11A
Q-GOLD RES,CA7472694057,QX9F
QMC QUANTUM MINERALS CORP,CA74734C1014,3LQ
QMX GOLD CORP.,CA74735D1087,OU2A
QUESTOR TECHNOLOGY INC.,CA7479461013,79Q
QUATERRA RES INC.,CA7479521097,QR2
QUEBECOR INC. B SUB.VTG,CA7481932084,QB3
QUESTERRE ENERGY CORP. A,CA74836K1003,QE1
QUEST RARE MIN.,CA74836T1012,1Q8
QUIKFLOW HEALTH INC.,CA74840V1004,1QF
RIWI CORP.,CA7496011007,5RW
RMP ENERGY INC.,CA7496821009,OE9
RYU APPAREL INC.,CA74979J1003,RYA
RACKLA METALS INC.,CA7500802029,RLH1
RADIUS GOLD INC.,CA7504681007,RUG
RAGING RIVER EXPLORATION,CA7506491058,2RR
RAINMAKER RES LTD,CA75088B2012,T8RN
RAINY MOUNTAIN ROYAL. NEW,CA75101U3010,EK7N
RAISE PRODUCTION INC.,CA75101V1013,0P9
RANGE ENERGY RES INC.,CA75282A1084,YGK
RATHDOWNEY RESOURCES LTD,CA75410A1030,2RD
RED EAGLE MINING CORP.,CA7565662045,R6E
RED HUT METALS INC.,CA7566022074,7RH1
RED PINE EXPLORATION,CA75686Y4058,VG31
RED TIGER MNG,CA75703X1096,ZMR1
REDHAWK RESOURCES INC.,CA75746K1066,QF7
REDKNEE SOLUTIONS INC.,CA7575241038,RE6
REDSTAR GOLD CORP.,CA75773Q2080,RGG
REGENT VENTURES LTD,CA75890F1018,R3V
REGULUS RESOUR.(NEW) NEW,CA75915M1077,3LI
REITMANS CDA LTD-A-N.VTG,CA7594042052,CX4
RELEVIUM TECHN. INC.,CA75942W1023,6BX
RELIQ HEALTH TECHS,CA75955T1030,MHN2
RENAISSANCE GOLD,CA75971J1057,4RG
REPLICEL LIFE SCIENCES,CA76027P4006,P6P2
RESAAS SERVICES INC.,CA76083V1013,0RS
RESTAURANT BRANDS INT.UTS,CA76090H1038,0RT
MAJESCOR RES INC.,CA7609603021,L7C2
RESERVOIR CAPITAL,CA7611252023,R0C1
RESOURCE CAPITAL GOLD,CA76124L1040,GNL1
AUGYVA MINING RES INC.,CA76125M1014,2AY
ROBEX RESOURCES INC.,CA76125Y1051,RB4
RESVERLOGIX CORP,CA76128M1086,RFS
RESTAURANT BRANDS INTL,CA76131D1033,0R6
REUNION GOLD CORP.,CA76131P1062,RG7
REVELO RES CORP.,CA7613661031,52IA
REWARDSTREAM SOLUT.,CA76156V1031,JL4L
RHEINGOLD EXPLORATION,CA7620511005,8RE
RICHMOND MINERALS,CA7651872086,R52
RICHMONT MNS,CA76547T1066,RIM
RIOCAN REAL ESTATE INV.,CA7669101031,R7G
RITCHIE BROTH.AUCTIONEERS,CA7677441056,2R8
RIVERSIDE RESOURCES INC.,CA76926M1023,R99
RIZAL RES CORP.,CA76970Y1016,RFU2
ROBIX ENVIRONMENTAL TECHS,CA7710241067,R0X
ROCHESTER RES,CA77174P3007,R5IA
ROCK TECH LITHIUM,CA77273P2017,RJIB
ROCKCLIFF COPPER CORP.,CA77288Q1037,RO0
ROCKHAVEN RESOURCES LTD,CA77340P1018,8RR
ROCKRIDGE CAPITAL CORP.,CA7740653042,RH32
ROCKSHIELD CAPITAL CORP.,CA77406P1027,6BC
ROCKWELL DIAMONDS,CA77434W2022,RO2B
"ROGERS COMM.B  CD 1,62478",CA7751092007,RCIB
ROGERS SUGAR INC.,CA77519R1029,16R
ROGUE RES INC.,CA77536Q2027,GDO3
ROJO RESOURCES,CA77543W1014,LR21
ROMIOS GOLD RES INC.,CA7759041055,D4R
ROOSTER ENERGY LTD,CA7766181001,3P4A
ROSITA MNG CORP.,CA77815L1067,5LM1
ROUTEMASTER CAPITAL,CA7792921016,RMJR
ROUTE1 INC.,CA77929Q1081,3R6
ROXGOLD INC.,CA7798992029,WF8B
ROYAL BK CDA,CA7800871021,RYC
ROYAL NICKEL CORP.,CA7803571099,5RN
RUBICON MINERALS NEW,CA7809115099,RU7N
RUGBY MINING LTD,CA7813021044,7RM
RUNNING FOX RESOURCE CORP,CA7815861025,C8Q
RUPERT RESOURCES LTD,CA78165J1057,R05
RUSSEL METALS A,CA7819036046,RMZ
RUSORO MINING LTD,CA7822271028,PKJ2
RYE PATCH GOLD CORP.,CA7837271005,5TN
SDX ENERGY INC.,CA78410A1075,76S1
SNC - LAVALIN GRP,CA78460T1057,LAV
SQI DIAGNOSTICS INC.,CA78466B1085,XSQ
SABINA GOLD+SILVER CORP.,CA7852461093,RXC
SAGE GOLD INC.,CA78663T3082,RSEP
ST. GEORGES PLAT.+BASE,CA7895712056,85G1
SAINT JEAN CARBON,CA79015E1060,WNFN
SALAZAR RES LTD,CA7940071045,CCG
SAMA RES INC/RESS.SAM.INC,CA79586X1033,8RS
SANDSPRING RESOURCES,CA8001105045,SRX1
SANDSTORM GOLD,CA80013R2063,AYS1
SANDVINE CORP.,CA8002131008,S5V
SANTACRUZ SILVER MINING,CA80280U1066,1SZ
SAPUTO INC.,CA8029121057,SB7
SARAMA RESOURCES LTD,CA8031601005,48S
SATORI RES INC.,CA8040312016,8S81
SATURN MINERALS INC.,CA80410K1012,SMK
SAVANNA ENERGY SVCS,CA8046941073,G6M
SAVANNAH GOLD,CA8050111035,OU7N
SAVARY GOLD CORP.,CA8051161005,353
SCANDIUM INTL MNG,CA80600L1094,0E6
SCIENTIFIC METALS CORP,CA80876P1071,26X
SCORPIO GOLD,CA80918M1041,Z3S
SCOZINC MNG LTD,CA8106471078,
SEABRIDGE G.,CA8119161054,SRM
SEAHAWK VENTURES INC.,CA81202R1064,7SR
SECOVA METALS CORP.,CA8136782080,N4UN
SECURECOM MOBILE INC.,CA81372N3076,S6UP
SECURE ENERGY SERVICES,CA81373C1023,SEP
SELECT SANDS CORP.,CA81619L1067,ROG
SELECTCORE LTD,CA8162153057,Z1S1
SENATOR MINERALS,CA8168812052,T1KA
SEMAFO INC.,CA8169221089,S7U
SERNOVA CORP.,CA81732W1041,PSH
SERENGETI RES INC.,CA8174991064,34S
SEVEN GENERATIONS ENERGY,CA81783Q1054,7G5
SHAMARAN PETROLEUM CORP.,CA8193201024,3B8
SHAW COMM. N-VTG B,CA82028K2002,SWC
SHAWCOR LTD NEW,CA8204391079,S9W
SHEAR DIAMONDS LTD,CA82086A1021,S5JD
SHERRITT INTL CORP.,CA8239011031,HRT
SHORE GOLD INC.,CA8249011021,GOC
SHOPIFY A SUB.VTG,CA82509L1076,307
SIENNA RES INC.,CA82621E1060,HRJ1
SIENNA SENIOR LIV.,CA82621K1021,636
SIERRA METALS INC.,CA82639W1068,DFXN
SIERRA WIRELESS INC.,CA8265161064,WRW
SILVER BEAR RESOURCES INC,CA82735N1096,55S
SILVER GRAIL RES LTD,CA82772U1075,KD7
SILVER ONE RES.INC.  O.N.,CA8280621092,BRK1
SILVER PREDATOR CORP.,CA82808Q1046,6SL
SILVER RANGE RES,CA82809P1053,8SR
SILVER SPRUCE RES INC.,CA8282292033,S6Q1
SILVER STANDARD RES,CA82823L1067,ZSV
SILVER WHEATON CORP.,CA8283361076,SII
SILVERCORP METALS INC.,CA82835P1036,S9Y
SILVERCREST MTLS,CA8283631015,S0C
SIMBA ENERGY INC.,CA8285721079,GDA
SIRONA BIOCHEM CORP.,CA82967M1005,ZSB
SIRIOS RESOURCES INC. NEW,CA8299085081,377A
SIYATA MOBILE,CA83013Q1037,WK3D
SKEENA RES LTD NEW,CA83056P3016,RXFA
SKYHARBOUR RESOURCES,CA8308166096,SC1P
SLEEP COUN.CANA.HLDG.INC.,CA83125J1049,1S2
SLYCE INC.,CA83160L1058,06O1
SMARTCOOL SYSTEMS INC.,CA83171N1087,R3W
SMART REAL EST. I. V.VTG,CA83179X1087,C7J1
SNIPP INTERACTIVE INC.,CA83306Y1025,20N
VIOR EXPL. MNS,CA83364M5037,VL51
SOKOMAN IRON,CA83409P1071,3PJ1
SOLAR ALLIANCE ENERGY,CA83417T1093,D8Z1
SONORO ENERGY LTD,CA83569D5064,FDZ2
SONORO METALS CORP.,CA83569F2044,23SP
SOPHIRIS BIO INC.,CA83578Q2099,BFF1
SORA CAPITAL CORP,CA83581Q1054,1R6
SOURCE EXPLORATION,CA83614T2092,4QW1
SOUTHERN ARC MINERALS,CA8422003050,S6A1
SOUTHERN LITHIUM COR O.N.,CA8433031082,SL5
SOUTHERN SILVER EXPL.,CA8438142033,SEG1
SOUTHGOBI RESOURCES LTD.,CA8443751059,HOX
SPANISH MOUNTAIN GOLD LTD,CA8464811097,S3Y
SPARTAN ENERGY,CA8467851033,121A
SPECTRAL MEDICAL,CA8475771033,SD4
